"filename", "language", "Python", "Properties", "Batch", "PowerShell", "HTML", "JavaScript", "XML", "CSS", "Markdown", "C", "comment", "blank", "total"
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\bn\formats.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 33
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\bs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\bs\formats.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ca\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ca\formats.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 31
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ckb\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ckb\formats.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\cs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\cs\formats.py", "Python", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 44
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\cy\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\cy\formats.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 34
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\da\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\da\formats.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 27
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\de\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\de\formats.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 30
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\de_CH\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\de_CH\formats.py", "Python", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 36
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\el\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\el\formats.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 35
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\en\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\en\formats.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 66
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\en_AU\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\en_AU\formats.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 42
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\en_GB\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\en_GB\formats.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 42
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\eo\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\eo\formats.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 45
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es\formats.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 31
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_AR\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_AR\formats.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 31
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_CO\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_CO\formats.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_MX\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_MX\formats.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_NI\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_NI\formats.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 27
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_PR\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\es_PR\formats.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 28
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\et\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\et\formats.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\eu\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\eu\formats.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fa\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fa\formats.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fi\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fi\formats.py", "Python", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 37
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fr\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fr\formats.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 34
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fy\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\fy\formats.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ga\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ga\formats.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\gd\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\gd\formats.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\gl\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\gl\formats.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\he\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\he\formats.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\hi\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\hi\formats.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\hr\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\hr\formats.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 3, 45
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\hu\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\hu\formats.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 31
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\id\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\id\formats.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 50
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ig\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ig\formats.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 33
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\is\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\is\formats.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\it\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\it\formats.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 44
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ja\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ja\formats.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ka\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ka\formats.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 49
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\km\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\km\formats.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\kn\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\kn\formats.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ko\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ko\formats.py", "Python", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 3, 55
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ky\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ky\formats.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 33
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\lt\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\lt\formats.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 46
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\lv\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\lv\formats.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 47
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\mk\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\mk\formats.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 41
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ml\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ml\formats.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 2, 44
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\mn\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\mn\formats.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 2, 22
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ms\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\ms\formats.py", "Python", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 39
"c:\Users\take\Desktop\venv\Lib\site-packages\django\conf\locale\nb\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
